You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                               | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/Amazon-Google | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
trainable params: 884,736 || all params: 223,788,288 || trainable%: 0.3953450861557152
Epoch: 0 | Train Loss: 0.3822 | Val Loss: 0.1085 | Train Acc: 0.8653 | Val Acc: 0.9058 | Train F1: 0.1268 | Val F1: 0.6561 | Train Time: 75.20279717445374 secs
Saving model with validation F1: 0.6560509554140127 at epoch: 0
Epoch: 1 | Train Loss: 0.0902 | Val Loss: 0.0913 | Train Acc: 0.9261 | Val Acc: 0.9176 | Train F1: 0.6019 | Val F1: 0.6876 | Train Time: 75.16505646705627 secs
Saving model with validation F1: 0.687603305785124 at epoch: 1
Epoch: 2 | Train Loss: 0.0778 | Val Loss: 0.1023 | Train Acc: 0.9335 | Val Acc: 0.9263 | Train F1: 0.6572 | Val F1: 0.7111 | Train Time: 77.81154251098633 secs
Saving model with validation F1: 0.711111111111111 at epoch: 2
Epoch: 3 | Train Loss: 0.0676 | Val Loss: 0.0864 | Train Acc: 0.9443 | Val Acc: 0.9385 | Train F1: 0.7194 | Val F1: 0.7219 | Train Time: 78.76963567733765 secs
Saving model with validation F1: 0.7218934911242604 at epoch: 3
Epoch: 4 | Train Loss: 0.0625 | Val Loss: 0.0868 | Train Acc: 0.9447 | Val Acc: 0.9416 | Train F1: 0.7214 | Val F1: 0.7472 | Train Time: 78.53254818916321 secs
Saving model with validation F1: 0.7471698113207548 at epoch: 4
Epoch: 5 | Train Loss: 0.0560 | Val Loss: 0.0710 | Train Acc: 0.9526 | Val Acc: 0.9420 | Train F1: 0.7645 | Val F1: 0.7235 | Train Time: 78.38392114639282 secs
Epoch: 6 | Train Loss: 0.0542 | Val Loss: 0.0821 | Train Acc: 0.9520 | Val Acc: 0.9424 | Train F1: 0.7605 | Val F1: 0.7215 | Train Time: 79.26654386520386 secs
Epoch: 7 | Train Loss: 0.0504 | Val Loss: 0.0899 | Train Acc: 0.9590 | Val Acc: 0.9416 | Train F1: 0.7980 | Val F1: 0.6996 | Train Time: 78.54880976676941 secs
Epoch: 8 | Train Loss: 0.0507 | Val Loss: 0.0875 | Train Acc: 0.9600 | Val Acc: 0.9437 | Train F1: 0.8031 | Val F1: 0.7456 | Train Time: 78.81731510162354 secs
Epoch: 9 | Train Loss: 0.0494 | Val Loss: 0.0845 | Train Acc: 0.9571 | Val Acc: 0.9407 | Train F1: 0.7903 | Val F1: 0.7527 | Train Time: 78.16621136665344 secs
Saving model with validation F1: 0.7527272727272728 at epoch: 9
Epoch: 10 | Train Loss: 0.0469 | Val Loss: 0.1016 | Train Acc: 0.9587 | Val Acc: 0.9442 | Train F1: 0.7977 | Val F1: 0.7265 | Train Time: 78.87376117706299 secs
Epoch: 11 | Train Loss: 0.0490 | Val Loss: 0.1164 | Train Acc: 0.9596 | Val Acc: 0.9115 | Train F1: 0.8011 | Val F1: 0.6721 | Train Time: 78.63473224639893 secs
Epoch: 12 | Train Loss: 0.0452 | Val Loss: 0.0977 | Train Acc: 0.9612 | Val Acc: 0.9389 | Train F1: 0.8116 | Val F1: 0.7407 | Train Time: 78.18836116790771 secs
Epoch: 13 | Train Loss: 0.0397 | Val Loss: 0.0926 | Train Acc: 0.9670 | Val Acc: 0.9376 | Train F1: 0.8389 | Val F1: 0.6713 | Train Time: 78.48376131057739 secs
Epoch: 14 | Train Loss: 0.0417 | Val Loss: 0.0912 | Train Acc: 0.9660 | Val Acc: 0.9420 | Train F1: 0.8319 | Val F1: 0.7532 | Train Time: 78.57389545440674 secs
Saving model with validation F1: 0.7532467532467533 at epoch: 14
Epoch: 15 | Train Loss: 0.0340 | Val Loss: 0.1284 | Train Acc: 0.9706 | Val Acc: 0.9424 | Train F1: 0.8571 | Val F1: 0.7093 | Train Time: 78.09688305854797 secs
Epoch: 16 | Train Loss: 0.0376 | Val Loss: 0.1165 | Train Acc: 0.9695 | Val Acc: 0.9350 | Train F1: 0.8517 | Val F1: 0.6089 | Train Time: 78.18340802192688 secs
Epoch: 17 | Train Loss: 0.0348 | Val Loss: 0.1076 | Train Acc: 0.9695 | Val Acc: 0.9416 | Train F1: 0.8519 | Val F1: 0.7320 | Train Time: 78.0266284942627 secs
Epoch: 18 | Train Loss: 0.0321 | Val Loss: 0.1061 | Train Acc: 0.9731 | Val Acc: 0.9446 | Train F1: 0.8693 | Val F1: 0.7381 | Train Time: 78.02052330970764 secs
