You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
trainable params: 884,736 || all params: 223,788,288 || trainable%: 0.3953450861557152
Epoch: 0 | Train Loss: 4.9912 | Val Loss: 0.4159 | Train Acc: 0.0896 | Val Acc: 0.8462 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 7.646868944168091 secs
Epoch: 1 | Train Loss: 0.3847 | Val Loss: 0.1957 | Train Acc: 0.8433 | Val Acc: 0.8462 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 2.5940098762512207 secs
Epoch: 2 | Train Loss: 0.2459 | Val Loss: 0.2304 | Train Acc: 0.8246 | Val Acc: 0.8462 | Train F1: 0.1167 | Val F1: 0.0000 | Train Time: 2.5779497623443604 secs
Epoch: 3 | Train Loss: 0.1912 | Val Loss: 0.1637 | Train Acc: 0.8582 | Val Acc: 0.9231 | Train F1: 0.1562 | Val F1: 0.6667 | Train Time: 2.5829384326934814 secs
Saving model with validation F1: 0.6666666666666666 at epoch: 3
Epoch: 4 | Train Loss: 0.2096 | Val Loss: 0.1414 | Train Acc: 0.8507 | Val Acc: 0.8571 | Train F1: 0.1750 | Val F1: 0.1333 | Train Time: 2.5466468334198 secs
Epoch: 5 | Train Loss: 0.1463 | Val Loss: 0.0886 | Train Acc: 0.8918 | Val Acc: 0.9341 | Train F1: 0.5397 | Val F1: 0.7273 | Train Time: 2.5383081436157227 secs
Saving model with validation F1: 0.7272727272727273 at epoch: 5
Epoch: 6 | Train Loss: 0.1030 | Val Loss: 0.0555 | Train Acc: 0.8955 | Val Acc: 0.9451 | Train F1: 0.5758 | Val F1: 0.8276 | Train Time: 2.5494678020477295 secs
Saving model with validation F1: 0.8275862068965518 at epoch: 6
Epoch: 7 | Train Loss: 0.0470 | Val Loss: 0.0601 | Train Acc: 0.9664 | Val Acc: 0.9451 | Train F1: 0.8800 | Val F1: 0.8276 | Train Time: 2.562460422515869 secs
Epoch: 8 | Train Loss: 0.0424 | Val Loss: 0.2570 | Train Acc: 0.9739 | Val Acc: 0.8791 | Train F1: 0.9091 | Val F1: 0.7179 | Train Time: 2.540353298187256 secs
Epoch: 9 | Train Loss: 0.0301 | Val Loss: 0.1552 | Train Acc: 0.9776 | Val Acc: 0.9341 | Train F1: 0.9211 | Val F1: 0.8235 | Train Time: 2.5462045669555664 secs
Epoch: 10 | Train Loss: 0.0283 | Val Loss: 0.1271 | Train Acc: 0.9664 | Val Acc: 0.9451 | Train F1: 0.8861 | Val F1: 0.8485 | Train Time: 2.5538876056671143 secs
Saving model with validation F1: 0.8484848484848484 at epoch: 10
Epoch: 11 | Train Loss: 0.0183 | Val Loss: 0.1020 | Train Acc: 0.9813 | Val Acc: 0.9560 | Train F1: 0.9383 | Val F1: 0.8750 | Train Time: 2.5301096439361572 secs
Saving model with validation F1: 0.8750000000000001 at epoch: 11
Epoch: 12 | Train Loss: 0.0123 | Val Loss: 0.2267 | Train Acc: 0.9925 | Val Acc: 0.9341 | Train F1: 0.9744 | Val F1: 0.8235 | Train Time: 2.543670892715454 secs
Epoch: 13 | Train Loss: 0.0133 | Val Loss: 0.2521 | Train Acc: 0.9925 | Val Acc: 0.9341 | Train F1: 0.9744 | Val F1: 0.8235 | Train Time: 2.604710578918457 secs
Epoch: 14 | Train Loss: 0.0293 | Val Loss: 0.1318 | Train Acc: 0.9851 | Val Acc: 0.9560 | Train F1: 0.9500 | Val F1: 0.8750 | Train Time: 2.5339620113372803 secs
Epoch: 15 | Train Loss: 0.0109 | Val Loss: 0.1278 | Train Acc: 0.9888 | Val Acc: 0.9560 | Train F1: 0.9630 | Val F1: 0.8750 | Train Time: 2.5591819286346436 secs
Epoch: 16 | Train Loss: 0.0033 | Val Loss: 0.1529 | Train Acc: 1.0000 | Val Acc: 0.9560 | Train F1: 1.0000 | Val F1: 0.8750 | Train Time: 2.514782428741455 secs
Epoch: 17 | Train Loss: 0.0067 | Val Loss: 0.1839 | Train Acc: 0.9963 | Val Acc: 0.9560 | Train F1: 0.9877 | Val F1: 0.8750 | Train Time: 2.59307599067688 secs
Epoch: 18 | Train Loss: 0.0124 | Val Loss: 0.2763 | Train Acc: 0.9851 | Val Acc: 0.9121 | Train F1: 0.9487 | Val F1: 0.7778 | Train Time: 2.582697629928589 secs
Epoch: 19 | Train Loss: 0.0048 | Val Loss: 0.1715 | Train Acc: 1.0000 | Val Acc: 0.9560 | Train F1: 1.0000 | Val F1: 0.8750 | Train Time: 2.6003479957580566 secs
