You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Token indices sequence length is longer than the specified maximum sequence length for this model (355 > 300). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (358 > 300). Running this sequence through the model will result in indexing errors
trainable params: 884,736 || all params: 223,788,288 || trainable%: 0.3953450861557152
Epoch: 0 | Train Loss: 0.2119 | Val Loss: 0.0092 | Train Acc: 0.9280 | Val Acc: 0.9956 | Train F1: 0.7970 | Val F1: 0.9877 | Train Time: 144.83251547813416 secs
Saving model with validation F1: 0.9876819708846584 at epoch: 0
Epoch: 1 | Train Loss: 0.0130 | Val Loss: 0.0202 | Train Acc: 0.9920 | Val Acc: 0.9927 | Train F1: 0.9779 | Val F1: 0.9799 | Train Time: 145.45784878730774 secs
Epoch: 2 | Train Loss: 0.0116 | Val Loss: 0.0127 | Train Acc: 0.9934 | Val Acc: 0.9960 | Train F1: 0.9816 | Val F1: 0.9888 | Train Time: 143.70469784736633 secs
Saving model with validation F1: 0.9888392857142857 at epoch: 2
Epoch: 3 | Train Loss: 0.0073 | Val Loss: 0.0126 | Train Acc: 0.9957 | Val Acc: 0.9947 | Train F1: 0.9880 | Val F1: 0.9853 | Train Time: 144.74895858764648 secs
Epoch: 4 | Train Loss: 0.0101 | Val Loss: 0.0116 | Train Acc: 0.9939 | Val Acc: 0.9960 | Train F1: 0.9831 | Val F1: 0.9888 | Train Time: 145.30818843841553 secs
Epoch: 5 | Train Loss: 0.0100 | Val Loss: 0.0069 | Train Acc: 0.9949 | Val Acc: 0.9956 | Train F1: 0.9858 | Val F1: 0.9877 | Train Time: 145.3006157875061 secs
Epoch: 6 | Train Loss: 0.0092 | Val Loss: 0.0097 | Train Acc: 0.9939 | Val Acc: 0.9947 | Train F1: 0.9831 | Val F1: 0.9855 | Train Time: 145.03638529777527 secs
Epoch: 7 | Train Loss: 0.0071 | Val Loss: 0.0098 | Train Acc: 0.9957 | Val Acc: 0.9960 | Train F1: 0.9880 | Val F1: 0.9888 | Train Time: 144.6405544281006 secs
Epoch: 8 | Train Loss: 0.0115 | Val Loss: 0.0123 | Train Acc: 0.9929 | Val Acc: 0.9943 | Train F1: 0.9801 | Val F1: 0.9844 | Train Time: 145.3140046596527 secs
