You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
trainable params: 884,736 || all params: 223,788,288 || trainable%: 0.3953450861557152
Epoch: 0 | Train Loss: 0.1371 | Val Loss: 0.0333 | Train Acc: 0.9386 | Val Acc: 0.9803 | Train F1: 0.8316 | Val F1: 0.9482 | Train Time: 304.0642852783203 secs
Saving model with validation F1: 0.9481889041723981 at epoch: 0
Epoch: 1 | Train Loss: 0.0326 | Val Loss: 0.0314 | Train Acc: 0.9781 | Val Acc: 0.9826 | Train F1: 0.9412 | Val F1: 0.9527 | Train Time: 311.74618577957153 secs
Saving model with validation F1: 0.9527410207939508 at epoch: 1
Epoch: 2 | Train Loss: 0.0280 | Val Loss: 0.0257 | Train Acc: 0.9803 | Val Acc: 0.9828 | Train F1: 0.9473 | Val F1: 0.9544 | Train Time: 311.3452467918396 secs
Saving model with validation F1: 0.954398894518655 at epoch: 2
Epoch: 3 | Train Loss: 0.0249 | Val Loss: 0.0270 | Train Acc: 0.9833 | Val Acc: 0.9822 | Train F1: 0.9551 | Val F1: 0.9519 | Train Time: 314.35217785835266 secs
Epoch: 4 | Train Loss: 0.0248 | Val Loss: 0.0230 | Train Acc: 0.9829 | Val Acc: 0.9855 | Train F1: 0.9542 | Val F1: 0.9615 | Train Time: 307.6364891529083 secs
Saving model with validation F1: 0.9615206305053315 at epoch: 4
Epoch: 5 | Train Loss: 0.0270 | Val Loss: 0.0348 | Train Acc: 0.9826 | Val Acc: 0.9770 | Train F1: 0.9534 | Val F1: 0.9408 | Train Time: 306.68495178222656 secs
Epoch: 6 | Train Loss: 0.0235 | Val Loss: 0.0270 | Train Acc: 0.9836 | Val Acc: 0.9840 | Train F1: 0.9560 | Val F1: 0.9570 | Train Time: 293.0506749153137 secs
Epoch: 7 | Train Loss: 0.0226 | Val Loss: 0.0470 | Train Acc: 0.9844 | Val Acc: 0.9700 | Train F1: 0.9582 | Val F1: 0.9244 | Train Time: 315.72397780418396 secs
