You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
trainable params: 884,736 || all params: 223,788,288 || trainable%: 0.3953450861557152
Epoch: 0 | Train Loss: 0.9636 | Val Loss: 0.0761 | Train Acc: 0.8070 | Val Acc: 0.9683 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 15.88560962677002 secs
Epoch: 1 | Train Loss: 0.0673 | Val Loss: 0.0722 | Train Acc: 0.9737 | Val Acc: 0.9683 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 15.63016939163208 secs
Epoch: 2 | Train Loss: 0.0603 | Val Loss: 0.0506 | Train Acc: 0.9737 | Val Acc: 0.9683 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 15.649611949920654 secs
Epoch: 3 | Train Loss: 0.0490 | Val Loss: 0.0272 | Train Acc: 0.9743 | Val Acc: 0.9683 | Train F1: 0.0227 | Val F1: 0.0000 | Train Time: 15.54693341255188 secs
Epoch: 4 | Train Loss: 0.0250 | Val Loss: 0.0016 | Train Acc: 0.9825 | Val Acc: 1.0000 | Train F1: 0.5000 | Val F1: 1.0000 | Train Time: 15.713907480239868 secs
Saving model with validation F1: 1.0 at epoch: 4
Epoch: 5 | Train Loss: 0.0126 | Val Loss: 0.0004 | Train Acc: 0.9942 | Val Acc: 1.0000 | Train F1: 0.8780 | Val F1: 1.0000 | Train Time: 15.743284463882446 secs
Epoch: 6 | Train Loss: 0.0062 | Val Loss: 0.0000 | Train Acc: 0.9965 | Val Acc: 1.0000 | Train F1: 0.9286 | Val F1: 1.0000 | Train Time: 13.94985318183899 secs
Epoch: 7 | Train Loss: 0.0029 | Val Loss: 0.0000 | Train Acc: 0.9994 | Val Acc: 1.0000 | Train F1: 0.9885 | Val F1: 1.0000 | Train Time: 15.38401460647583 secs
Epoch: 8 | Train Loss: 0.0008 | Val Loss: 0.0000 | Train Acc: 0.9994 | Val Acc: 1.0000 | Train F1: 0.9885 | Val F1: 1.0000 | Train Time: 14.826222658157349 secs
Epoch: 9 | Train Loss: 0.0019 | Val Loss: 0.0000 | Train Acc: 0.9988 | Val Acc: 1.0000 | Train F1: 0.9773 | Val F1: 1.0000 | Train Time: 13.966694831848145 secs
Epoch: 10 | Train Loss: 0.0003 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 13.508220195770264 secs
Epoch: 11 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 13.96225643157959 secs
Epoch: 12 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.416668891906738 secs
Epoch: 13 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.296877145767212 secs
Epoch: 14 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.20277452468872 secs
Epoch: 15 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.463212728500366 secs
Epoch: 16 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.461095333099365 secs
Epoch: 17 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.29391360282898 secs
Epoch: 18 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.361262559890747 secs
Epoch: 19 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.171582221984863 secs
Epoch: 20 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 13.999727964401245 secs
Epoch: 21 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.337291240692139 secs
Epoch: 22 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.307402610778809 secs
Epoch: 23 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.939458131790161 secs
Epoch: 24 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 13.542780637741089 secs
Epoch: 25 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.249626636505127 secs
Epoch: 26 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.712923765182495 secs
Epoch: 27 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.09654951095581 secs
Epoch: 28 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.38696575164795 secs
Epoch: 29 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.618573904037476 secs
Epoch: 30 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 15.382318258285522 secs
Epoch: 31 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.203856468200684 secs
Epoch: 32 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 13.912520408630371 secs
Epoch: 33 | Train Loss: 0.0001 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 13.739290952682495 secs
Epoch: 34 | Train Loss: 0.0002 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 14.309571266174316 secs
Epoch: 35 | Train Loss: 0.0000 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 13.67615556716919 secs
