You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
trainable params: 884,736 || all params: 223,788,288 || trainable%: 0.3953450861557152
Epoch: 0 | Train Loss: 0.4218 | Val Loss: 0.0992 | Train Acc: 0.8675 | Val Acc: 0.9380 | Train F1: 0.0167 | Val F1: 0.5348 | Train Time: 77.34853649139404 secs
Saving model with validation F1: 0.5347985347985348 at epoch: 0
Epoch: 1 | Train Loss: 0.0791 | Val Loss: 0.0812 | Train Acc: 0.9466 | Val Acc: 0.9536 | Train F1: 0.6765 | Val F1: 0.7816 | Train Time: 77.26068639755249 secs
Saving model with validation F1: 0.7816091954022988 at epoch: 1
Epoch: 2 | Train Loss: 0.0541 | Val Loss: 0.0649 | Train Acc: 0.9639 | Val Acc: 0.9629 | Train F1: 0.7974 | Val F1: 0.8233 | Train Time: 78.25695872306824 secs
Saving model with validation F1: 0.8232558139534883 at epoch: 2
Epoch: 3 | Train Loss: 0.0433 | Val Loss: 0.0606 | Train Acc: 0.9694 | Val Acc: 0.9741 | Train F1: 0.8294 | Val F1: 0.8623 | Train Time: 77.93295168876648 secs
Saving model with validation F1: 0.8623376623376622 at epoch: 3
Epoch: 4 | Train Loss: 0.0373 | Val Loss: 0.0506 | Train Acc: 0.9756 | Val Acc: 0.9766 | Train F1: 0.8668 | Val F1: 0.8763 | Train Time: 78.15379929542542 secs
Saving model with validation F1: 0.8762886597938144 at epoch: 4
Epoch: 5 | Train Loss: 0.0325 | Val Loss: 0.0499 | Train Acc: 0.9774 | Val Acc: 0.9693 | Train F1: 0.8762 | Val F1: 0.8460 | Train Time: 77.76408433914185 secs
Epoch: 6 | Train Loss: 0.0266 | Val Loss: 0.0472 | Train Acc: 0.9819 | Val Acc: 0.9766 | Train F1: 0.9013 | Val F1: 0.8756 | Train Time: 77.89251971244812 secs
Epoch: 7 | Train Loss: 0.0263 | Val Loss: 0.0670 | Train Acc: 0.9803 | Val Acc: 0.9771 | Train F1: 0.8932 | Val F1: 0.8773 | Train Time: 77.99177718162537 secs
Saving model with validation F1: 0.877284595300261 at epoch: 7
Epoch: 8 | Train Loss: 0.0278 | Val Loss: 0.0516 | Train Acc: 0.9805 | Val Acc: 0.9766 | Train F1: 0.8942 | Val F1: 0.8689 | Train Time: 80.2241644859314 secs
Epoch: 9 | Train Loss: 0.0182 | Val Loss: 0.0826 | Train Acc: 0.9865 | Val Acc: 0.9614 | Train F1: 0.9274 | Val F1: 0.8176 | Train Time: 78.14622950553894 secs
Epoch: 10 | Train Loss: 0.0175 | Val Loss: 0.0529 | Train Acc: 0.9884 | Val Acc: 0.9722 | Train F1: 0.9381 | Val F1: 0.8527 | Train Time: 77.55305814743042 secs
Epoch: 11 | Train Loss: 0.0146 | Val Loss: 0.0588 | Train Acc: 0.9899 | Val Acc: 0.9780 | Train F1: 0.9453 | Val F1: 0.8819 | Train Time: 77.38147926330566 secs
Saving model with validation F1: 0.8818897637795275 at epoch: 11
Epoch: 12 | Train Loss: 0.0139 | Val Loss: 0.0699 | Train Acc: 0.9907 | Val Acc: 0.9678 | Train F1: 0.9499 | Val F1: 0.8413 | Train Time: 77.89357805252075 secs
Epoch: 13 | Train Loss: 0.0142 | Val Loss: 0.0757 | Train Acc: 0.9893 | Val Acc: 0.9639 | Train F1: 0.9424 | Val F1: 0.8246 | Train Time: 77.75009489059448 secs
Epoch: 14 | Train Loss: 0.0156 | Val Loss: 0.0734 | Train Acc: 0.9894 | Val Acc: 0.9771 | Train F1: 0.9433 | Val F1: 0.8798 | Train Time: 77.85700988769531 secs
Epoch: 15 | Train Loss: 0.0137 | Val Loss: 0.0547 | Train Acc: 0.9901 | Val Acc: 0.9746 | Train F1: 0.9467 | Val F1: 0.8639 | Train Time: 77.66291403770447 secs
Epoch: 16 | Train Loss: 0.0123 | Val Loss: 0.0844 | Train Acc: 0.9925 | Val Acc: 0.9707 | Train F1: 0.9599 | Val F1: 0.8515 | Train Time: 77.60873770713806 secs
Epoch: 17 | Train Loss: 0.0108 | Val Loss: 0.0736 | Train Acc: 0.9915 | Val Acc: 0.9702 | Train F1: 0.9546 | Val F1: 0.8494 | Train Time: 77.79792785644531 secs
Epoch: 18 | Train Loss: 0.0108 | Val Loss: 0.0789 | Train Acc: 0.9925 | Val Acc: 0.9732 | Train F1: 0.9598 | Val F1: 0.8586 | Train Time: 77.05760717391968 secs
Epoch: 19 | Train Loss: 0.0153 | Val Loss: 0.0642 | Train Acc: 0.9901 | Val Acc: 0.9727 | Train F1: 0.9465 | Val F1: 0.8549 | Train Time: 77.2111144065857 secs
Epoch: 20 | Train Loss: 0.0179 | Val Loss: 0.0796 | Train Acc: 0.9871 | Val Acc: 0.9741 | Train F1: 0.9311 | Val F1: 0.8602 | Train Time: 77.1791524887085 secs
Epoch: 21 | Train Loss: 0.0148 | Val Loss: 0.0905 | Train Acc: 0.9893 | Val Acc: 0.9697 | Train F1: 0.9426 | Val F1: 0.8333 | Train Time: 77.86735701560974 secs
Epoch: 22 | Train Loss: 0.0111 | Val Loss: 0.0769 | Train Acc: 0.9915 | Val Acc: 0.9712 | Train F1: 0.9546 | Val F1: 0.8475 | Train Time: 77.63942241668701 secs
Epoch: 23 | Train Loss: 0.0102 | Val Loss: 0.0696 | Train Acc: 0.9940 | Val Acc: 0.9776 | Train F1: 0.9677 | Val F1: 0.8827 | Train Time: 76.99924421310425 secs
Saving model with validation F1: 0.8826530612244897 at epoch: 23
Epoch: 24 | Train Loss: 0.0098 | Val Loss: 0.0781 | Train Acc: 0.9941 | Val Acc: 0.9678 | Train F1: 0.9687 | Val F1: 0.8366 | Train Time: 77.97028613090515 secs
Epoch: 25 | Train Loss: 0.0086 | Val Loss: 0.0720 | Train Acc: 0.9943 | Val Acc: 0.9776 | Train F1: 0.9695 | Val F1: 0.8757 | Train Time: 77.17607402801514 secs
