You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
trainable params: 884,736 || all params: 223,788,288 || trainable%: 0.3953450861557152
Epoch: 0 | Train Loss: 5.5257 | Val Loss: 0.6541 | Train Acc: 0.0343 | Val Acc: 0.7339 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 9.641632318496704 secs
Epoch: 1 | Train Loss: 0.4467 | Val Loss: 0.2562 | Train Acc: 0.7290 | Val Acc: 0.7523 | Train F1: 0.0241 | Val F1: 0.0000 | Train Time: 5.803126096725464 secs
Epoch: 2 | Train Loss: 0.2987 | Val Loss: 0.2522 | Train Acc: 0.7196 | Val Acc: 0.8899 | Train F1: 0.1374 | Val F1: 0.8000 | Train Time: 5.724253416061401 secs
Saving model with validation F1: 0.7999999999999999 at epoch: 2
Epoch: 3 | Train Loss: 0.2235 | Val Loss: 0.1368 | Train Acc: 0.7975 | Val Acc: 0.9541 | Train F1: 0.4220 | Val F1: 0.9153 | Train Time: 5.792874574661255 secs
Saving model with validation F1: 0.9152542372881356 at epoch: 3
Epoch: 4 | Train Loss: 0.1538 | Val Loss: 0.0473 | Train Acc: 0.8567 | Val Acc: 0.9633 | Train F1: 0.6406 | Val F1: 0.9286 | Train Time: 5.66876220703125 secs
Saving model with validation F1: 0.9285714285714286 at epoch: 4
Epoch: 5 | Train Loss: 0.0764 | Val Loss: 0.0461 | Train Acc: 0.9533 | Val Acc: 0.9725 | Train F1: 0.8993 | Val F1: 0.9455 | Train Time: 5.720231294631958 secs
Saving model with validation F1: 0.9454545454545454 at epoch: 5
Epoch: 6 | Train Loss: 0.0605 | Val Loss: 0.0377 | Train Acc: 0.9657 | Val Acc: 0.9817 | Train F1: 0.9290 | Val F1: 0.9630 | Train Time: 5.711587190628052 secs
Saving model with validation F1: 0.9629629629629629 at epoch: 6
Epoch: 7 | Train Loss: 0.0513 | Val Loss: 0.0726 | Train Acc: 0.9688 | Val Acc: 0.9541 | Train F1: 0.9342 | Val F1: 0.9123 | Train Time: 5.903568506240845 secs
Epoch: 8 | Train Loss: 0.0308 | Val Loss: 0.0795 | Train Acc: 0.9844 | Val Acc: 0.9541 | Train F1: 0.9677 | Val F1: 0.9123 | Train Time: 5.893891096115112 secs
Epoch: 9 | Train Loss: 0.0280 | Val Loss: 0.0334 | Train Acc: 0.9844 | Val Acc: 0.9817 | Train F1: 0.9686 | Val F1: 0.9630 | Train Time: 5.86227822303772 secs
Epoch: 10 | Train Loss: 0.0425 | Val Loss: 0.0394 | Train Acc: 0.9626 | Val Acc: 0.9817 | Train F1: 0.9221 | Val F1: 0.9630 | Train Time: 5.8164026737213135 secs
Epoch: 11 | Train Loss: 0.0177 | Val Loss: 0.0521 | Train Acc: 0.9938 | Val Acc: 0.9817 | Train F1: 0.9870 | Val F1: 0.9630 | Train Time: 5.832736253738403 secs
