You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                               | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/Amazon-Google | lora      | entity_matching | 8          | 100    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
trainable params: 2,359,296 || all params: 740,027,392 || trainable%: 0.31881198257050464
Epoch: 0 | Train Loss: 0.2240 | Val Loss: 0.0710 | Train Acc: 0.9014 | Val Acc: 0.9355 | Train F1: 0.3648 | Val F1: 0.6740 | Train Time: 206.19470024108887 secs
Saving model with validation F1: 0.6740088105726872 at epoch: 0
Epoch: 1 | Train Loss: 0.0765 | Val Loss: 0.0733 | Train Acc: 0.9345 | Val Acc: 0.9437 | Train F1: 0.6667 | Val F1: 0.7249 | Train Time: 217.83411622047424 secs
Saving model with validation F1: 0.7249466950959489 at epoch: 1
Epoch: 2 | Train Loss: 0.0721 | Val Loss: 0.0898 | Train Acc: 0.9366 | Val Acc: 0.9137 | Train F1: 0.6799 | Val F1: 0.6827 | Train Time: 215.59950733184814 secs
Epoch: 3 | Train Loss: 0.0794 | Val Loss: 0.0791 | Train Acc: 0.9340 | Val Acc: 0.9407 | Train F1: 0.6597 | Val F1: 0.7119 | Train Time: 215.62320351600647 secs
Epoch: 4 | Train Loss: 0.0648 | Val Loss: 0.0751 | Train Acc: 0.9434 | Val Acc: 0.9381 | Train F1: 0.7167 | Val F1: 0.7370 | Train Time: 220.20295667648315 secs
Saving model with validation F1: 0.737037037037037 at epoch: 4
Epoch: 5 | Train Loss: 0.0681 | Val Loss: 0.0804 | Train Acc: 0.9417 | Val Acc: 0.9184 | Train F1: 0.7084 | Val F1: 0.6889 | Train Time: 221.03548049926758 secs
Epoch: 6 | Train Loss: 0.0698 | Val Loss: 0.0723 | Train Acc: 0.9401 | Val Acc: 0.9372 | Train F1: 0.6907 | Val F1: 0.7252 | Train Time: 220.58941340446472 secs
Epoch: 7 | Train Loss: 0.0588 | Val Loss: 0.0924 | Train Acc: 0.9482 | Val Acc: 0.9372 | Train F1: 0.7428 | Val F1: 0.6588 | Train Time: 221.72194504737854 secs
Epoch: 8 | Train Loss: 0.0657 | Val Loss: 0.0712 | Train Acc: 0.9438 | Val Acc: 0.9389 | Train F1: 0.7153 | Val F1: 0.7021 | Train Time: 215.66042971611023 secs
Epoch: 9 | Train Loss: 0.0636 | Val Loss: 0.0809 | Train Acc: 0.9454 | Val Acc: 0.9259 | Train F1: 0.7245 | Val F1: 0.7007 | Train Time: 212.22555994987488 secs
Epoch: 10 | Train Loss: 0.0640 | Val Loss: 0.0812 | Train Acc: 0.9481 | Val Acc: 0.9276 | Train F1: 0.7334 | Val F1: 0.6667 | Train Time: 214.5131106376648 secs
Epoch: 11 | Train Loss: 0.0673 | Val Loss: 0.0867 | Train Acc: 0.9452 | Val Acc: 0.9315 | Train F1: 0.7137 | Val F1: 0.7087 | Train Time: 220.8679449558258 secs
Epoch: 12 | Train Loss: 0.0660 | Val Loss: 0.0830 | Train Acc: 0.9444 | Val Acc: 0.9298 | Train F1: 0.7145 | Val F1: 0.6212 | Train Time: 218.1815848350525 secs
Epoch: 13 | Train Loss: 0.0619 | Val Loss: 0.0757 | Train Acc: 0.9466 | Val Acc: 0.9337 | Train F1: 0.7311 | Val F1: 0.6780 | Train Time: 216.01246666908264 secs
