Parsed arguments:
 +-----------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                      | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+-----------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/Beer | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+-----------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
Downloading (…)ve/main/spiece.model:   0%|          | 0.00/792k [00:00<?, ?B/s]Downloading (…)ve/main/spiece.model: 100%|██████████| 792k/792k [00:00<00:00, 9.48MB/s]
You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 0 | Train Loss: 6.1405 | Val Loss: 3.1065 | Train Acc: 0.0000 | Val Acc: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 9.678385972976685 secs
Epoch: 1 | Train Loss: 1.7916 | Val Loss: 0.5851 | Train Acc: 0.2836 | Val Acc: 0.8462 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 1.3869524002075195 secs
Epoch: 2 | Train Loss: 0.5489 | Val Loss: 0.4715 | Train Acc: 0.8507 | Val Acc: 0.8462 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 1.3847875595092773 secs
Epoch: 3 | Train Loss: 0.3695 | Val Loss: 0.2407 | Train Acc: 0.8507 | Val Acc: 0.8462 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 1.3863461017608643 secs
Epoch: 4 | Train Loss: 0.2573 | Val Loss: 0.2194 | Train Acc: 0.8507 | Val Acc: 0.8462 | Train F1: 0.0500 | Val F1: 0.0000 | Train Time: 1.3862042427062988 secs
Epoch: 5 | Train Loss: 0.2275 | Val Loss: 0.2117 | Train Acc: 0.8321 | Val Acc: 0.8462 | Train F1: 0.0222 | Val F1: 0.0000 | Train Time: 1.3813862800598145 secs
Epoch: 6 | Train Loss: 0.2235 | Val Loss: 0.2110 | Train Acc: 0.8433 | Val Acc: 0.8462 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 1.380234956741333 secs
Epoch: 7 | Train Loss: 0.2438 | Val Loss: 0.1873 | Train Acc: 0.8507 | Val Acc: 0.8462 | Train F1: 0.0500 | Val F1: 0.0000 | Train Time: 1.3877055644989014 secs
Epoch: 8 | Train Loss: 0.2089 | Val Loss: 0.1669 | Train Acc: 0.8470 | Val Acc: 0.8462 | Train F1: 0.1136 | Val F1: 0.0000 | Train Time: 1.3857686519622803 secs
Epoch: 9 | Train Loss: 0.2000 | Val Loss: 0.1424 | Train Acc: 0.8582 | Val Acc: 0.8901 | Train F1: 0.0952 | Val F1: 0.4444 | Train Time: 1.3858423233032227 secs
Saving model with validation F1: 0.4444444444444445 at epoch: 9
Epoch: 10 | Train Loss: 0.1775 | Val Loss: 0.1166 | Train Acc: 0.8545 | Val Acc: 0.9121 | Train F1: 0.1143 | Val F1: 0.6000 | Train Time: 1.388951063156128 secs
Saving model with validation F1: 0.6 at epoch: 10
Epoch: 11 | Train Loss: 0.1794 | Val Loss: 0.0994 | Train Acc: 0.8582 | Val Acc: 0.9231 | Train F1: 0.2531 | Val F1: 0.7200 | Train Time: 1.3891534805297852 secs
Saving model with validation F1: 0.7200000000000001 at epoch: 11
Epoch: 12 | Train Loss: 0.1325 | Val Loss: 0.1032 | Train Acc: 0.8769 | Val Acc: 0.9231 | Train F1: 0.4211 | Val F1: 0.7586 | Train Time: 1.3884353637695312 secs
Saving model with validation F1: 0.7586206896551724 at epoch: 12
Epoch: 13 | Train Loss: 0.1206 | Val Loss: 0.1418 | Train Acc: 0.8881 | Val Acc: 0.8901 | Train F1: 0.5833 | Val F1: 0.7222 | Train Time: 1.391557216644287 secs
Epoch: 14 | Train Loss: 0.1231 | Val Loss: 0.0919 | Train Acc: 0.9142 | Val Acc: 0.9121 | Train F1: 0.6462 | Val F1: 0.7143 | Train Time: 1.3856751918792725 secs
Epoch: 15 | Train Loss: 0.1066 | Val Loss: 0.0931 | Train Acc: 0.9291 | Val Acc: 0.9231 | Train F1: 0.7467 | Val F1: 0.7586 | Train Time: 1.382965087890625 secs
Epoch: 16 | Train Loss: 0.0885 | Val Loss: 0.1094 | Train Acc: 0.9328 | Val Acc: 0.9341 | Train F1: 0.7500 | Val F1: 0.8000 | Train Time: 1.411522388458252 secs
Saving model with validation F1: 0.7999999999999999 at epoch: 16
Epoch: 17 | Train Loss: 0.0654 | Val Loss: 0.1235 | Train Acc: 0.9590 | Val Acc: 0.9341 | Train F1: 0.8571 | Val F1: 0.8000 | Train Time: 1.4132964611053467 secs
Epoch: 18 | Train Loss: 0.0748 | Val Loss: 0.1121 | Train Acc: 0.9552 | Val Acc: 0.9341 | Train F1: 0.8462 | Val F1: 0.7692 | Train Time: 1.4073231220245361 secs
Epoch: 19 | Train Loss: 0.0607 | Val Loss: 0.1198 | Train Acc: 0.9552 | Val Acc: 0.9231 | Train F1: 0.8421 | Val F1: 0.7742 | Train Time: 1.4146747589111328 secs
Epoch: 20 | Train Loss: 0.0670 | Val Loss: 0.1557 | Train Acc: 0.9515 | Val Acc: 0.9011 | Train F1: 0.8267 | Val F1: 0.7273 | Train Time: 1.419846773147583 secs
Epoch: 21 | Train Loss: 0.0563 | Val Loss: 0.1438 | Train Acc: 0.9552 | Val Acc: 0.9341 | Train F1: 0.8462 | Val F1: 0.8000 | Train Time: 1.4271297454833984 secs
Epoch: 22 | Train Loss: 0.0440 | Val Loss: 0.1419 | Train Acc: 0.9664 | Val Acc: 0.9231 | Train F1: 0.8916 | Val F1: 0.7586 | Train Time: 1.4154460430145264 secs
Epoch: 23 | Train Loss: 0.0473 | Val Loss: 0.1503 | Train Acc: 0.9701 | Val Acc: 0.9451 | Train F1: 0.8974 | Val F1: 0.8387 | Train Time: 1.3990941047668457 secs
Saving model with validation F1: 0.8387096774193549 at epoch: 23
Epoch: 24 | Train Loss: 0.0259 | Val Loss: 0.1579 | Train Acc: 0.9813 | Val Acc: 0.9231 | Train F1: 0.9398 | Val F1: 0.7586 | Train Time: 1.4103422164916992 secs
Epoch: 25 | Train Loss: 0.0314 | Val Loss: 0.1585 | Train Acc: 0.9813 | Val Acc: 0.9341 | Train F1: 0.9367 | Val F1: 0.8000 | Train Time: 1.4075901508331299 secs
Epoch: 26 | Train Loss: 0.0238 | Val Loss: 0.2373 | Train Acc: 0.9888 | Val Acc: 0.8901 | Train F1: 0.9620 | Val F1: 0.7222 | Train Time: 1.4155092239379883 secs
Epoch: 27 | Train Loss: 0.0395 | Val Loss: 0.1658 | Train Acc: 0.9552 | Val Acc: 0.9121 | Train F1: 0.8537 | Val F1: 0.7143 | Train Time: 1.404667854309082 secs
Epoch: 28 | Train Loss: 0.0348 | Val Loss: 0.1553 | Train Acc: 0.9776 | Val Acc: 0.9341 | Train F1: 0.9268 | Val F1: 0.8125 | Train Time: 1.4011261463165283 secs
Epoch: 29 | Train Loss: 0.0324 | Val Loss: 0.1617 | Train Acc: 0.9851 | Val Acc: 0.9341 | Train F1: 0.9487 | Val F1: 0.8125 | Train Time: 1.4120066165924072 secs
Epoch: 30 | Train Loss: 0.0459 | Val Loss: 0.1497 | Train Acc: 0.9739 | Val Acc: 0.9231 | Train F1: 0.9136 | Val F1: 0.7742 | Train Time: 1.415424108505249 secs
Epoch: 31 | Train Loss: 0.0383 | Val Loss: 0.1485 | Train Acc: 0.9776 | Val Acc: 0.9231 | Train F1: 0.9250 | Val F1: 0.7879 | Train Time: 1.4147682189941406 secs
Epoch: 32 | Train Loss: 0.0205 | Val Loss: 0.1456 | Train Acc: 0.9851 | Val Acc: 0.9231 | Train F1: 0.9487 | Val F1: 0.7742 | Train Time: 1.419924020767212 secs
Epoch: 33 | Train Loss: 0.0229 | Val Loss: 0.1392 | Train Acc: 0.9851 | Val Acc: 0.9451 | Train F1: 0.9512 | Val F1: 0.8276 | Train Time: 1.4151828289031982 secs
Epoch: 34 | Train Loss: 0.0155 | Val Loss: 0.1675 | Train Acc: 0.9851 | Val Acc: 0.9451 | Train F1: 0.9474 | Val F1: 0.8387 | Train Time: 1.4269309043884277 secs
Epoch: 35 | Train Loss: 0.0198 | Val Loss: 0.1676 | Train Acc: 0.9888 | Val Acc: 0.9341 | Train F1: 0.9630 | Val F1: 0.8000 | Train Time: 1.405203104019165 secs
Epoch: 36 | Train Loss: 0.0123 | Val Loss: 0.1770 | Train Acc: 0.9925 | Val Acc: 0.9451 | Train F1: 0.9744 | Val F1: 0.8387 | Train Time: 1.4060921669006348 secs
Epoch: 37 | Train Loss: 0.0208 | Val Loss: 0.1866 | Train Acc: 0.9851 | Val Acc: 0.9341 | Train F1: 0.9474 | Val F1: 0.8000 | Train Time: 1.4141764640808105 secs
Epoch: 38 | Train Loss: 0.0221 | Val Loss: 0.1699 | Train Acc: 0.9813 | Val Acc: 0.9231 | Train F1: 0.9383 | Val F1: 0.7407 | Train Time: 1.427318811416626 secs
Epoch: 39 | Train Loss: 0.0327 | Val Loss: 0.1687 | Train Acc: 0.9739 | Val Acc: 0.9341 | Train F1: 0.9114 | Val F1: 0.8000 | Train Time: 1.4225444793701172 secs
Epoch: 40 | Train Loss: 0.0203 | Val Loss: 0.1766 | Train Acc: 0.9851 | Val Acc: 0.9231 | Train F1: 0.9487 | Val F1: 0.7407 | Train Time: 1.4046759605407715 secs
Epoch: 41 | Train Loss: 0.0068 | Val Loss: 0.1927 | Train Acc: 0.9963 | Val Acc: 0.9121 | Train F1: 0.9873 | Val F1: 0.7500 | Train Time: 1.4247465133666992 secs
Epoch: 42 | Train Loss: 0.0095 | Val Loss: 0.1967 | Train Acc: 0.9963 | Val Acc: 0.9341 | Train F1: 0.9873 | Val F1: 0.8000 | Train Time: 1.4079301357269287 secs
Epoch: 43 | Train Loss: 0.0032 | Val Loss: 0.2044 | Train Acc: 1.0000 | Val Acc: 0.9341 | Train F1: 1.0000 | Val F1: 0.8000 | Train Time: 1.40724515914917 secs
Epoch: 44 | Train Loss: 0.0123 | Val Loss: 0.2092 | Train Acc: 0.9851 | Val Acc: 0.9341 | Train F1: 0.9487 | Val F1: 0.8000 | Train Time: 1.413334608078003 secs
Epoch: 45 | Train Loss: 0.0093 | Val Loss: 0.1994 | Train Acc: 0.9963 | Val Acc: 0.9341 | Train F1: 0.9877 | Val F1: 0.8000 | Train Time: 1.3977665901184082 secs
Epoch: 46 | Train Loss: 0.0101 | Val Loss: 0.2537 | Train Acc: 0.9963 | Val Acc: 0.9121 | Train F1: 0.9873 | Val F1: 0.7500 | Train Time: 1.3919708728790283 secs
Epoch: 47 | Train Loss: 0.0109 | Val Loss: 0.1816 | Train Acc: 0.9925 | Val Acc: 0.9451 | Train F1: 0.9756 | Val F1: 0.8276 | Train Time: 1.4071011543273926 secs
Epoch: 48 | Train Loss: 0.0250 | Val Loss: 0.1704 | Train Acc: 0.9925 | Val Acc: 0.9341 | Train F1: 0.9744 | Val F1: 0.8000 | Train Time: 1.4115428924560547 secs
