You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +-----------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                          | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+-----------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/data_imputation/Buy | lora      | data_imputation | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+-----------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 0 | Train Loss: 6.6583 | Val Loss: 1.2663 | Train Acc: 0.0405 | Val Acc: 0.1880 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 4.374478101730347 secs
Saving model with validation Acc: 0.18803418803418803 at epoch: 0
Epoch: 1 | Train Loss: 1.4047 | Val Loss: 0.2755 | Train Acc: 0.3881 | Val Acc: 0.8547 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.4927420616149902 secs
Saving model with validation Acc: 0.8547008547008547 at epoch: 1
Epoch: 2 | Train Loss: 0.6940 | Val Loss: 0.2544 | Train Acc: 0.7292 | Val Acc: 0.8803 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.4057230949401855 secs
Saving model with validation Acc: 0.8803418803418803 at epoch: 2
Epoch: 3 | Train Loss: 0.5040 | Val Loss: 0.2349 | Train Acc: 0.8209 | Val Acc: 0.8889 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.493973731994629 secs
Saving model with validation Acc: 0.8888888888888888 at epoch: 3
Epoch: 4 | Train Loss: 0.4220 | Val Loss: 0.2202 | Train Acc: 0.8337 | Val Acc: 0.8889 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.464138984680176 secs
Epoch: 5 | Train Loss: 0.3766 | Val Loss: 0.2053 | Train Acc: 0.8529 | Val Acc: 0.8889 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.398524522781372 secs
Epoch: 6 | Train Loss: 0.3859 | Val Loss: 0.1917 | Train Acc: 0.8550 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.4182512760162354 secs
Saving model with validation Acc: 0.8974358974358975 at epoch: 6
Epoch: 7 | Train Loss: 0.3221 | Val Loss: 0.1719 | Train Acc: 0.8635 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.5307397842407227 secs
Epoch: 8 | Train Loss: 0.2895 | Val Loss: 0.1692 | Train Acc: 0.8721 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.43444561958313 secs
Epoch: 9 | Train Loss: 0.2939 | Val Loss: 0.1613 | Train Acc: 0.8678 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.449984073638916 secs
Epoch: 10 | Train Loss: 0.2891 | Val Loss: 0.1447 | Train Acc: 0.8763 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.4491376876831055 secs
Epoch: 11 | Train Loss: 0.2365 | Val Loss: 0.1463 | Train Acc: 0.8657 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.5108530521392822 secs
Epoch: 12 | Train Loss: 0.2225 | Val Loss: 0.1443 | Train Acc: 0.8742 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.445152759552002 secs
Epoch: 13 | Train Loss: 0.2153 | Val Loss: 0.1315 | Train Acc: 0.8849 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.404520273208618 secs
Epoch: 14 | Train Loss: 0.2202 | Val Loss: 0.1302 | Train Acc: 0.8849 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.485119104385376 secs
Epoch: 15 | Train Loss: 0.2054 | Val Loss: 0.1197 | Train Acc: 0.8849 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.3933467864990234 secs
Epoch: 16 | Train Loss: 0.1871 | Val Loss: 0.1173 | Train Acc: 0.8955 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.4884328842163086 secs
Epoch: 17 | Train Loss: 0.1760 | Val Loss: 0.1117 | Train Acc: 0.8891 | Val Acc: 0.8974 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.434523105621338 secs
