You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Token indices sequence length is longer than the specified maximum sequence length for this model (348 > 300). Running this sequence through the model will result in indexing errors
Token indices sequence length is longer than the specified maximum sequence length for this model (358 > 300). Running this sequence through the model will result in indexing errors
Parsed arguments:
 +---------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                          | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+---------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/DBLP-ACM | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+---------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 0 | Train Loss: 0.4209 | Val Loss: 0.0261 | Train Acc: 0.8642 | Val Acc: 0.9891 | Train F1: 0.6037 | Val F1: 0.9704 | Train Time: 53.76085591316223 secs
Saving model with validation F1: 0.9704271631982476 at epoch: 0
Epoch: 1 | Train Loss: 0.0217 | Val Loss: 0.0284 | Train Acc: 0.9860 | Val Acc: 0.9834 | Train F1: 0.9613 | Val F1: 0.9558 | Train Time: 50.95323348045349 secs
Epoch: 2 | Train Loss: 0.0146 | Val Loss: 0.0237 | Train Acc: 0.9916 | Val Acc: 0.9871 | Train F1: 0.9769 | Val F1: 0.9651 | Train Time: 51.583035469055176 secs
Epoch: 3 | Train Loss: 0.0111 | Val Loss: 0.0087 | Train Acc: 0.9933 | Val Acc: 0.9947 | Train F1: 0.9813 | Val F1: 0.9855 | Train Time: 51.832470178604126 secs
Saving model with validation F1: 0.9855072463768116 at epoch: 3
Epoch: 4 | Train Loss: 0.0107 | Val Loss: 0.0097 | Train Acc: 0.9938 | Val Acc: 0.9947 | Train F1: 0.9828 | Val F1: 0.9855 | Train Time: 51.30105781555176 secs
Saving model with validation F1: 0.985539488320356 at epoch: 4
Epoch: 5 | Train Loss: 0.0085 | Val Loss: 0.0111 | Train Acc: 0.9958 | Val Acc: 0.9947 | Train F1: 0.9884 | Val F1: 0.9855 | Train Time: 51.025829553604126 secs
Epoch: 6 | Train Loss: 0.0079 | Val Loss: 0.0062 | Train Acc: 0.9956 | Val Acc: 0.9968 | Train F1: 0.9876 | Val F1: 0.9911 | Train Time: 50.74719023704529 secs
Saving model with validation F1: 0.9910514541387023 at epoch: 6
Epoch: 7 | Train Loss: 0.0076 | Val Loss: 0.0041 | Train Acc: 0.9951 | Val Acc: 0.9964 | Train F1: 0.9865 | Val F1: 0.9899 | Train Time: 51.28316783905029 secs
Epoch: 8 | Train Loss: 0.0058 | Val Loss: 0.0064 | Train Acc: 0.9969 | Val Acc: 0.9964 | Train F1: 0.9914 | Val F1: 0.9899 | Train Time: 50.98151183128357 secs
Epoch: 9 | Train Loss: 0.0065 | Val Loss: 0.0077 | Train Acc: 0.9961 | Val Acc: 0.9968 | Train F1: 0.9891 | Val F1: 0.9910 | Train Time: 51.11687397956848 secs
Epoch: 10 | Train Loss: 0.0073 | Val Loss: 0.0055 | Train Acc: 0.9950 | Val Acc: 0.9968 | Train F1: 0.9861 | Val F1: 0.9911 | Train Time: 50.72002983093262 secs
Epoch: 11 | Train Loss: 0.0056 | Val Loss: 0.0038 | Train Acc: 0.9960 | Val Acc: 0.9972 | Train F1: 0.9888 | Val F1: 0.9921 | Train Time: 50.713050842285156 secs
Saving model with validation F1: 0.992108229988726 at epoch: 11
Epoch: 12 | Train Loss: 0.0062 | Val Loss: 0.0043 | Train Acc: 0.9962 | Val Acc: 0.9972 | Train F1: 0.9895 | Val F1: 0.9921 | Train Time: 50.98689889907837 secs
Epoch: 13 | Train Loss: 0.0053 | Val Loss: 0.0048 | Train Acc: 0.9964 | Val Acc: 0.9964 | Train F1: 0.9899 | Val F1: 0.9899 | Train Time: 50.70206665992737 secs
Epoch: 14 | Train Loss: 0.0051 | Val Loss: 0.0029 | Train Acc: 0.9960 | Val Acc: 0.9980 | Train F1: 0.9887 | Val F1: 0.9944 | Train Time: 50.87411189079285 secs
Saving model with validation F1: 0.9943757030371203 at epoch: 14
