You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +-------------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                                    | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+-------------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/DBLP-GoogleScholar | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+-------------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 0 | Train Loss: 0.2205 | Val Loss: 0.0504 | Train Acc: 0.9055 | Val Acc: 0.9667 | Train F1: 0.7351 | Val F1: 0.9155 | Train Time: 105.0587706565857 secs
Saving model with validation F1: 0.9155241043785936 at epoch: 0
Epoch: 1 | Train Loss: 0.0408 | Val Loss: 0.0321 | Train Acc: 0.9707 | Val Acc: 0.9772 | Train F1: 0.9214 | Val F1: 0.9395 | Train Time: 109.05445432662964 secs
Saving model with validation F1: 0.9394919168591224 at epoch: 1
Epoch: 2 | Train Loss: 0.0335 | Val Loss: 0.0370 | Train Acc: 0.9777 | Val Acc: 0.9774 | Train F1: 0.9399 | Val F1: 0.9413 | Train Time: 103.9941942691803 secs
Saving model with validation F1: 0.9412827461607949 at epoch: 2
Epoch: 3 | Train Loss: 0.0301 | Val Loss: 0.0365 | Train Acc: 0.9786 | Val Acc: 0.9775 | Train F1: 0.9427 | Val F1: 0.9419 | Train Time: 105.45554876327515 secs
Saving model with validation F1: 0.9419180549302116 at epoch: 3
Epoch: 4 | Train Loss: 0.0266 | Val Loss: 0.0390 | Train Acc: 0.9815 | Val Acc: 0.9772 | Train F1: 0.9504 | Val F1: 0.9412 | Train Time: 105.15158247947693 secs
Epoch: 5 | Train Loss: 0.0250 | Val Loss: 0.0364 | Train Acc: 0.9823 | Val Acc: 0.9788 | Train F1: 0.9526 | Val F1: 0.9443 | Train Time: 105.51322436332703 secs
Saving model with validation F1: 0.9443430656934306 at epoch: 5
Epoch: 6 | Train Loss: 0.0237 | Val Loss: 0.0495 | Train Acc: 0.9843 | Val Acc: 0.9697 | Train F1: 0.9578 | Val F1: 0.9240 | Train Time: 111.50626969337463 secs
Epoch: 7 | Train Loss: 0.0214 | Val Loss: 0.0328 | Train Acc: 0.9852 | Val Acc: 0.9801 | Train F1: 0.9603 | Val F1: 0.9478 | Train Time: 110.85058903694153 secs
Saving model with validation F1: 0.9478021978021979 at epoch: 7
Epoch: 8 | Train Loss: 0.0210 | Val Loss: 0.0274 | Train Acc: 0.9859 | Val Acc: 0.9828 | Train F1: 0.9623 | Val F1: 0.9542 | Train Time: 105.73520135879517 secs
Saving model with validation F1: 0.9542302357836338 at epoch: 8
