You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                               | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/Fodors-Zagats | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
Downloading model.safetensors:   0%|          | 0.00/242M [00:00<?, ?B/s]Downloading model.safetensors:   4%|▍         | 10.5M/242M [00:00<00:03, 61.2MB/s]Downloading model.safetensors:   9%|▊         | 21.0M/242M [00:00<00:02, 78.3MB/s]Downloading model.safetensors:  17%|█▋        | 41.9M/242M [00:00<00:02, 93.3MB/s]Downloading model.safetensors:  26%|██▌       | 62.9M/242M [00:00<00:01, 98.6MB/s]Downloading model.safetensors:  35%|███▍      | 83.9M/242M [00:00<00:01, 101MB/s] Downloading model.safetensors:  43%|████▎     | 105M/242M [00:01<00:01, 103MB/s] Downloading model.safetensors:  52%|█████▏    | 126M/242M [00:01<00:01, 103MB/s]Downloading model.safetensors:  56%|█████▋    | 136M/242M [00:01<00:01, 104MB/s]Downloading model.safetensors:  61%|██████    | 147M/242M [00:01<00:00, 104MB/s]Downloading model.safetensors:  69%|██████▉   | 168M/242M [00:01<00:00, 105MB/s]Downloading model.safetensors:  78%|███████▊  | 189M/242M [00:01<00:00, 105MB/s]Downloading model.safetensors:  87%|████████▋ | 210M/242M [00:02<00:00, 105MB/s]Downloading model.safetensors:  95%|█████████▌| 231M/242M [00:02<00:00, 104MB/s]Downloading model.safetensors: 100%|█████████▉| 241M/242M [00:02<00:00, 102MB/s]Downloading model.safetensors: 100%|██████████| 242M/242M [00:02<00:00, 101MB/s]trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 0 | Train Loss: 3.7722 | Val Loss: 0.4065 | Train Acc: 0.2910 | Val Acc: 0.8842 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 11.833295345306396 secs
Epoch: 1 | Train Loss: 0.3284 | Val Loss: 0.1797 | Train Acc: 0.8818 | Val Acc: 0.8842 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.664186954498291 secs
Epoch: 2 | Train Loss: 0.1888 | Val Loss: 0.1564 | Train Acc: 0.8836 | Val Acc: 0.8842 | Train F1: 0.0152 | Val F1: 0.0000 | Train Time: 3.6645896434783936 secs
Epoch: 3 | Train Loss: 0.1924 | Val Loss: 0.1461 | Train Acc: 0.8818 | Val Acc: 0.8842 | Train F1: 0.0242 | Val F1: 0.0000 | Train Time: 3.6686956882476807 secs
Epoch: 4 | Train Loss: 0.1648 | Val Loss: 0.1084 | Train Acc: 0.8854 | Val Acc: 0.8895 | Train F1: 0.0404 | Val F1: 0.0870 | Train Time: 3.6659674644470215 secs
Saving model with validation F1: 0.08695652173913045 at epoch: 4
Epoch: 5 | Train Loss: 0.1452 | Val Loss: 0.0689 | Train Acc: 0.8907 | Val Acc: 0.9316 | Train F1: 0.1485 | Val F1: 0.5806 | Train Time: 3.6567583084106445 secs
Saving model with validation F1: 0.5806451612903226 at epoch: 5
Epoch: 6 | Train Loss: 0.1094 | Val Loss: 0.0315 | Train Acc: 0.9189 | Val Acc: 1.0000 | Train F1: 0.4889 | Val F1: 1.0000 | Train Time: 3.6631081104278564 secs
Saving model with validation F1: 1.0 at epoch: 6
Epoch: 7 | Train Loss: 0.0737 | Val Loss: 0.0058 | Train Acc: 0.9471 | Val Acc: 1.0000 | Train F1: 0.7170 | Val F1: 1.0000 | Train Time: 3.6800851821899414 secs
Epoch: 8 | Train Loss: 0.0262 | Val Loss: 0.0016 | Train Acc: 0.9841 | Val Acc: 1.0000 | Train F1: 0.9280 | Val F1: 1.0000 | Train Time: 3.6561079025268555 secs
Epoch: 9 | Train Loss: 0.0160 | Val Loss: 0.0009 | Train Acc: 0.9929 | Val Acc: 1.0000 | Train F1: 0.9697 | Val F1: 1.0000 | Train Time: 3.6633732318878174 secs
Epoch: 10 | Train Loss: 0.0088 | Val Loss: 0.0004 | Train Acc: 0.9982 | Val Acc: 1.0000 | Train F1: 0.9924 | Val F1: 1.0000 | Train Time: 3.6660070419311523 secs
Epoch: 11 | Train Loss: 0.0066 | Val Loss: 0.0003 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.673316478729248 secs
Epoch: 12 | Train Loss: 0.0104 | Val Loss: 0.0001 | Train Acc: 0.9965 | Val Acc: 1.0000 | Train F1: 0.9848 | Val F1: 1.0000 | Train Time: 3.66434907913208 secs
Epoch: 13 | Train Loss: 0.0156 | Val Loss: 0.0004 | Train Acc: 0.9894 | Val Acc: 1.0000 | Train F1: 0.9524 | Val F1: 1.0000 | Train Time: 3.6556789875030518 secs
Epoch: 14 | Train Loss: 0.0060 | Val Loss: 0.0003 | Train Acc: 0.9965 | Val Acc: 1.0000 | Train F1: 0.9846 | Val F1: 1.0000 | Train Time: 3.6727499961853027 secs
Epoch: 15 | Train Loss: 0.0038 | Val Loss: 0.0001 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6630806922912598 secs
Epoch: 16 | Train Loss: 0.0032 | Val Loss: 0.0000 | Train Acc: 0.9982 | Val Acc: 1.0000 | Train F1: 0.9924 | Val F1: 1.0000 | Train Time: 3.667553424835205 secs
Epoch: 17 | Train Loss: 0.0038 | Val Loss: 0.0000 | Train Acc: 0.9965 | Val Acc: 1.0000 | Train F1: 0.9848 | Val F1: 1.0000 | Train Time: 3.675048351287842 secs
Epoch: 18 | Train Loss: 0.0023 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6666982173919678 secs
Epoch: 19 | Train Loss: 0.0016 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6800365447998047 secs
Epoch: 20 | Train Loss: 0.0008 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.666595458984375 secs
Epoch: 21 | Train Loss: 0.0035 | Val Loss: 0.0000 | Train Acc: 0.9982 | Val Acc: 1.0000 | Train F1: 0.9924 | Val F1: 1.0000 | Train Time: 3.676703691482544 secs
Epoch: 22 | Train Loss: 0.0007 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6573615074157715 secs
Epoch: 23 | Train Loss: 0.0013 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6756739616394043 secs
Epoch: 24 | Train Loss: 0.0009 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6687638759613037 secs
Epoch: 25 | Train Loss: 0.0007 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6759510040283203 secs
Epoch: 26 | Train Loss: 0.0007 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.669790267944336 secs
Epoch: 27 | Train Loss: 0.0008 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.692570924758911 secs
Epoch: 28 | Train Loss: 0.0023 | Val Loss: 0.0000 | Train Acc: 0.9982 | Val Acc: 1.0000 | Train F1: 0.9925 | Val F1: 1.0000 | Train Time: 3.6662750244140625 secs
Epoch: 29 | Train Loss: 0.0006 | Val Loss: 0.0000 | Train Acc: 1.0000 | Val Acc: 1.0000 | Train F1: 1.0000 | Val F1: 1.0000 | Train Time: 3.6781249046325684 secs
