You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +---------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                                | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+---------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/Walmart-Amazon | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+---------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+

Downloading (…)neration_config.json:   0%|          | 0.00/147 [00:00<?, ?B/s]
Downloading (…)neration_config.json: 100%|██████████| 147/147 [00:00<00:00, 40.0kB/s]trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 0 | Train Loss: 0.5221 | Val Loss: 0.1341 | Train Acc: 0.8411 | Val Acc: 0.9058 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 44.4713032245636 secs
Epoch: 1 | Train Loss: 0.1440 | Val Loss: 0.1101 | Train Acc: 0.9061 | Val Acc: 0.9229 | Train F1: 0.0443 | Val F1: 0.5486 | Train Time: 33.224419355392456 secs
Saving model with validation F1: 0.5485714285714286 at epoch: 1
Epoch: 2 | Train Loss: 0.1237 | Val Loss: 0.0933 | Train Acc: 0.9093 | Val Acc: 0.9356 | Train F1: 0.2125 | Val F1: 0.5182 | Train Time: 33.264230251312256 secs
Epoch: 3 | Train Loss: 0.0954 | Val Loss: 0.0755 | Train Acc: 0.9261 | Val Acc: 0.9463 | Train F1: 0.5129 | Val F1: 0.7027 | Train Time: 33.29017663002014 secs
Saving model with validation F1: 0.7027027027027027 at epoch: 3
Epoch: 4 | Train Loss: 0.0845 | Val Loss: 0.1207 | Train Acc: 0.9365 | Val Acc: 0.8965 | Train F1: 0.6116 | Val F1: 0.6015 | Train Time: 33.287065505981445 secs
Epoch: 5 | Train Loss: 0.0813 | Val Loss: 0.0908 | Train Acc: 0.9368 | Val Acc: 0.9273 | Train F1: 0.6211 | Val F1: 0.6928 | Train Time: 33.26113224029541 secs
Epoch: 6 | Train Loss: 0.0663 | Val Loss: 0.0609 | Train Acc: 0.9495 | Val Acc: 0.9590 | Train F1: 0.7081 | Val F1: 0.7742 | Train Time: 33.34384274482727 secs
Saving model with validation F1: 0.7741935483870968 at epoch: 6
