You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +--------------------------------------------------------+-----------+-----------------+------------+--------+--------+------+------------+--------+-----------+--------------------+---------+---+----+------------+---------+
| data_dir                                               | peft_type | task            | batch_size | epochs | lr     | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | base_model | sep_tok |
+--------------------------------------------------------+-----------+-----------------+------------+--------+--------+------+------------+--------+-----------+--------------------+---------+---+----+------------+---------+
| data/datasets/entity_matching/structured/iTunes-Amazon | finetune  | entity_matching | 16         | 200    | 0.0005 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | t5-small   | .       |
+--------------------------------------------------------+-----------+-----------------+------------+--------+--------+------+------------+--------+-----------+--------------------+---------+---+----+------------+---------+
Number of Trainable Parameters: 60506624
Epoch: 0 | Train Loss: 1.1207 | Val Loss: 0.2777 | Train Acc: 0.6355 | Val Acc: 0.7523 | Train F1: 0.0087 | Val F1: 0.0000 | Train Time: 3.923143148422241 secs
Epoch: 1 | Train Loss: 0.2682 | Val Loss: 0.3033 | Train Acc: 0.7539 | Val Acc: 0.7615 | Train F1: 0.0710 | Val F1: 0.6389 | Train Time: 2.586033821105957 secs
Saving model with validation F1: 0.6388888888888888 at epoch: 1
Epoch: 2 | Train Loss: 0.2149 | Val Loss: 0.1919 | Train Acc: 0.8318 | Val Acc: 0.8165 | Train F1: 0.5909 | Val F1: 0.5455 | Train Time: 3.0525496006011963 secs
Epoch: 3 | Train Loss: 0.2213 | Val Loss: 0.1850 | Train Acc: 0.8037 | Val Acc: 0.8257 | Train F1: 0.4878 | Val F1: 0.5128 | Train Time: 2.785991668701172 secs
Epoch: 4 | Train Loss: 0.1339 | Val Loss: 0.0959 | Train Acc: 0.9034 | Val Acc: 0.9266 | Train F1: 0.7770 | Val F1: 0.8710 | Train Time: 2.7978851795196533 secs
Saving model with validation F1: 0.870967741935484 at epoch: 4
Epoch: 5 | Train Loss: 0.0805 | Val Loss: 0.0340 | Train Acc: 0.9377 | Val Acc: 0.9817 | Train F1: 0.8649 | Val F1: 0.9630 | Train Time: 2.8172802925109863 secs
Saving model with validation F1: 0.9629629629629629 at epoch: 5
Epoch: 6 | Train Loss: 0.0180 | Val Loss: 0.0721 | Train Acc: 0.9938 | Val Acc: 0.9633 | Train F1: 0.9870 | Val F1: 0.9286 | Train Time: 2.8030920028686523 secs
Epoch: 7 | Train Loss: 0.0101 | Val Loss: 0.0566 | Train Acc: 0.9969 | Val Acc: 0.9817 | Train F1: 0.9936 | Val F1: 0.9630 | Train Time: 2.7980353832244873 secs
Epoch: 8 | Train Loss: 0.0328 | Val Loss: 0.0699 | Train Acc: 0.9751 | Val Acc: 0.9817 | Train F1: 0.9481 | Val F1: 0.9630 | Train Time: 2.796765089035034 secs
Epoch: 9 | Train Loss: 0.0058 | Val Loss: 0.0850 | Train Acc: 1.0000 | Val Acc: 0.9725 | Train F1: 1.0000 | Val F1: 0.9455 | Train Time: 2.797719955444336 secs
Epoch: 10 | Train Loss: 0.0035 | Val Loss: 0.1341 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9123 | Train Time: 2.7851812839508057 secs
Epoch: 11 | Train Loss: 0.0047 | Val Loss: 0.1146 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9936 | Val F1: 0.9286 | Train Time: 2.802264451980591 secs
Epoch: 12 | Train Loss: 0.0026 | Val Loss: 0.1049 | Train Acc: 0.9969 | Val Acc: 0.9725 | Train F1: 0.9936 | Val F1: 0.9455 | Train Time: 2.7974212169647217 secs
Epoch: 13 | Train Loss: 0.0013 | Val Loss: 0.1441 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9123 | Train Time: 2.806195020675659 secs
Epoch: 14 | Train Loss: 0.0004 | Val Loss: 0.1614 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9123 | Train Time: 2.7995283603668213 secs
Epoch: 15 | Train Loss: 0.0004 | Val Loss: 0.1549 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.792672872543335 secs
Epoch: 16 | Train Loss: 0.0003 | Val Loss: 0.1620 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.803093194961548 secs
Epoch: 17 | Train Loss: 0.0016 | Val Loss: 0.2595 | Train Acc: 0.9969 | Val Acc: 0.9358 | Train F1: 0.9935 | Val F1: 0.8814 | Train Time: 2.79341721534729 secs
Epoch: 18 | Train Loss: 0.0014 | Val Loss: 0.1115 | Train Acc: 1.0000 | Val Acc: 0.9817 | Train F1: 1.0000 | Val F1: 0.9630 | Train Time: 2.8141798973083496 secs
Epoch: 19 | Train Loss: 0.0006 | Val Loss: 0.1726 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.813507556915283 secs
Epoch: 20 | Train Loss: 0.0021 | Val Loss: 0.1687 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9936 | Val F1: 0.9259 | Train Time: 2.7975852489471436 secs
Epoch: 21 | Train Loss: 0.0050 | Val Loss: 0.1955 | Train Acc: 0.9907 | Val Acc: 0.9541 | Train F1: 0.9809 | Val F1: 0.9091 | Train Time: 2.79514217376709 secs
Epoch: 22 | Train Loss: 0.0157 | Val Loss: 0.0635 | Train Acc: 0.9907 | Val Acc: 0.9725 | Train F1: 0.9806 | Val F1: 0.9455 | Train Time: 2.8023648262023926 secs
Epoch: 23 | Train Loss: 0.0064 | Val Loss: 0.0856 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9259 | Train Time: 2.7933850288391113 secs
Epoch: 24 | Train Loss: 0.0106 | Val Loss: 0.1122 | Train Acc: 0.9907 | Val Acc: 0.9633 | Train F1: 0.9806 | Val F1: 0.9259 | Train Time: 2.800070285797119 secs
Epoch: 25 | Train Loss: 0.0100 | Val Loss: 0.1638 | Train Acc: 0.9938 | Val Acc: 0.9541 | Train F1: 0.9870 | Val F1: 0.9057 | Train Time: 2.7847177982330322 secs
Epoch: 26 | Train Loss: 0.0011 | Val Loss: 0.1932 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.82973051071167 secs
Epoch: 27 | Train Loss: 0.0001 | Val Loss: 0.2044 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.820943593978882 secs
Epoch: 28 | Train Loss: 0.0024 | Val Loss: 0.1945 | Train Acc: 0.9969 | Val Acc: 0.9541 | Train F1: 0.9935 | Val F1: 0.9091 | Train Time: 2.7951817512512207 secs
Epoch: 29 | Train Loss: 0.0196 | Val Loss: 0.1252 | Train Acc: 0.9844 | Val Acc: 0.9633 | Train F1: 0.9682 | Val F1: 0.9259 | Train Time: 2.8066556453704834 secs
Epoch: 30 | Train Loss: 0.0052 | Val Loss: 0.1861 | Train Acc: 0.9969 | Val Acc: 0.9266 | Train F1: 0.9935 | Val F1: 0.8621 | Train Time: 2.8019793033599854 secs
Epoch: 31 | Train Loss: 0.0019 | Val Loss: 0.1434 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9936 | Val F1: 0.9259 | Train Time: 2.802795171737671 secs
Epoch: 32 | Train Loss: 0.0004 | Val Loss: 0.1566 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.790163516998291 secs
Epoch: 33 | Train Loss: 0.0002 | Val Loss: 0.1655 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.793923854827881 secs
Epoch: 34 | Train Loss: 0.0001 | Val Loss: 0.1695 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.8201284408569336 secs
Epoch: 35 | Train Loss: 0.0002 | Val Loss: 0.1746 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.798377513885498 secs
Epoch: 36 | Train Loss: 0.0001 | Val Loss: 0.1774 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.8016772270202637 secs
Epoch: 37 | Train Loss: 0.0001 | Val Loss: 0.1792 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.812105655670166 secs
Epoch: 38 | Train Loss: 0.0005 | Val Loss: 0.1841 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.8009426593780518 secs
Epoch: 39 | Train Loss: 0.0002 | Val Loss: 0.1905 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.788242816925049 secs
Epoch: 40 | Train Loss: 0.0001 | Val Loss: 0.1938 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.7959163188934326 secs
Epoch: 41 | Train Loss: 0.0000 | Val Loss: 0.1955 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.7938923835754395 secs
Epoch: 42 | Train Loss: 0.0001 | Val Loss: 0.1967 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.7987589836120605 secs
Epoch: 43 | Train Loss: 0.0000 | Val Loss: 0.1985 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.801217794418335 secs
Epoch: 44 | Train Loss: 0.0004 | Val Loss: 0.2155 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.8098959922790527 secs
Epoch: 45 | Train Loss: 0.0001 | Val Loss: 0.2272 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.7929234504699707 secs
Epoch: 46 | Train Loss: 0.0000 | Val Loss: 0.2292 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.7991373538970947 secs
Epoch: 47 | Train Loss: 0.0000 | Val Loss: 0.2307 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.822277307510376 secs
Epoch: 48 | Train Loss: 0.0000 | Val Loss: 0.2322 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.8174595832824707 secs
Epoch: 49 | Train Loss: 0.0000 | Val Loss: 0.2338 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.793790817260742 secs
Epoch: 50 | Train Loss: 0.0000 | Val Loss: 0.2358 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.808556318283081 secs
Epoch: 51 | Train Loss: 0.0000 | Val Loss: 0.2380 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.822418689727783 secs
Epoch: 52 | Train Loss: 0.0000 | Val Loss: 0.2401 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.8097479343414307 secs
Epoch: 53 | Train Loss: 0.0002 | Val Loss: 0.2345 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9259 | Train Time: 2.7969961166381836 secs
Epoch: 54 | Train Loss: 0.0004 | Val Loss: 0.2752 | Train Acc: 1.0000 | Val Acc: 0.9450 | Train F1: 1.0000 | Val F1: 0.8929 | Train Time: 2.812554359436035 secs
Epoch: 55 | Train Loss: 0.0002 | Val Loss: 0.2831 | Train Acc: 1.0000 | Val Acc: 0.9450 | Train F1: 1.0000 | Val F1: 0.8929 | Train Time: 2.809429407119751 secs
Epoch: 56 | Train Loss: 0.0001 | Val Loss: 0.2798 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.8168115615844727 secs
Epoch: 57 | Train Loss: 0.0000 | Val Loss: 0.2802 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.8059306144714355 secs
Epoch: 58 | Train Loss: 0.0000 | Val Loss: 0.2805 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.80903959274292 secs
Epoch: 59 | Train Loss: 0.0000 | Val Loss: 0.2808 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.797456741333008 secs
Epoch: 60 | Train Loss: 0.0000 | Val Loss: 0.2812 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.8146278858184814 secs
Epoch: 61 | Train Loss: 0.0000 | Val Loss: 0.2818 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.8232595920562744 secs
Epoch: 62 | Train Loss: 0.0000 | Val Loss: 0.2823 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.8065786361694336 secs
Epoch: 63 | Train Loss: 0.0000 | Val Loss: 0.2828 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.8138504028320312 secs
Epoch: 64 | Train Loss: 0.0000 | Val Loss: 0.2832 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.831249475479126 secs
Epoch: 65 | Train Loss: 0.0000 | Val Loss: 0.2835 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.807330846786499 secs
Epoch: 66 | Train Loss: 0.0000 | Val Loss: 0.2837 | Train Acc: 1.0000 | Val Acc: 0.9541 | Train F1: 1.0000 | Val F1: 0.9091 | Train Time: 2.815717935562134 secs
