You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. If you see this, DO NOT PANIC! This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thouroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Parsed arguments:
 +--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data_dir                                               | peft_type | task            | batch_size | epochs | lr    | seed | add_prefix | device | save_freq | num_virtual_tokens | balance | r | la | sep_tok |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
| data/datasets/entity_matching/structured/iTunes-Amazon | lora      | entity_matching | 16         | 200    | 0.001 | 1234 | False      | cuda   | 10        | 50                 | False   | 8 | 8  | .       |
+--------------------------------------------------------+-----------+-----------------+------------+--------+-------+------+------------+--------+-----------+--------------------+---------+---+----+---------+
trainable params: 294,912 || all params: 60,801,536 || trainable%: 0.4850403779272945
Epoch: 0 | Train Loss: 5.4384 | Val Loss: 1.4234 | Train Acc: 0.0280 | Val Acc: 0.0550 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 3.05521559715271 secs
Epoch: 1 | Train Loss: 0.7156 | Val Loss: 0.3724 | Train Acc: 0.7227 | Val Acc: 0.7523 | Train F1: 0.0000 | Val F1: 0.0000 | Train Time: 2.1090662479400635 secs
Epoch: 2 | Train Loss: 0.3849 | Val Loss: 0.2816 | Train Acc: 0.7103 | Val Acc: 0.7615 | Train F1: 0.0529 | Val F1: 0.0714 | Train Time: 2.118818521499634 secs
Saving model with validation F1: 0.07142857142857142 at epoch: 2
Epoch: 3 | Train Loss: 0.3438 | Val Loss: 0.2840 | Train Acc: 0.7383 | Val Acc: 0.7798 | Train F1: 0.0401 | Val F1: 0.2963 | Train Time: 2.116175651550293 secs
Saving model with validation F1: 0.2962962962962963 at epoch: 3
Epoch: 4 | Train Loss: 0.3680 | Val Loss: 0.2573 | Train Acc: 0.7134 | Val Acc: 0.7798 | Train F1: 0.0057 | Val F1: 0.2370 | Train Time: 2.12880802154541 secs
Epoch: 5 | Train Loss: 0.3140 | Val Loss: 0.2241 | Train Acc: 0.7165 | Val Acc: 0.7982 | Train F1: 0.0998 | Val F1: 0.3125 | Train Time: 2.119063377380371 secs
Saving model with validation F1: 0.3125 at epoch: 5
Epoch: 6 | Train Loss: 0.2579 | Val Loss: 0.2209 | Train Acc: 0.7850 | Val Acc: 0.8440 | Train F1: 0.3077 | Val F1: 0.6383 | Train Time: 2.1231086254119873 secs
Saving model with validation F1: 0.6382978723404256 at epoch: 6
Epoch: 7 | Train Loss: 0.2352 | Val Loss: 0.2040 | Train Acc: 0.8006 | Val Acc: 0.8349 | Train F1: 0.3725 | Val F1: 0.6538 | Train Time: 2.1078145503997803 secs
Saving model with validation F1: 0.6538461538461539 at epoch: 7
Epoch: 8 | Train Loss: 0.2057 | Val Loss: 0.1985 | Train Acc: 0.8100 | Val Acc: 0.8165 | Train F1: 0.4959 | Val F1: 0.6296 | Train Time: 2.11342191696167 secs
Epoch: 9 | Train Loss: 0.1949 | Val Loss: 0.1990 | Train Acc: 0.8193 | Val Acc: 0.8257 | Train F1: 0.5857 | Val F1: 0.5778 | Train Time: 2.1245765686035156 secs
Epoch: 10 | Train Loss: 0.2140 | Val Loss: 0.1823 | Train Acc: 0.8536 | Val Acc: 0.8440 | Train F1: 0.6569 | Val F1: 0.6792 | Train Time: 2.117173910140991 secs
Saving model with validation F1: 0.6792452830188679 at epoch: 10
Epoch: 11 | Train Loss: 0.1754 | Val Loss: 0.1870 | Train Acc: 0.8349 | Val Acc: 0.8349 | Train F1: 0.5691 | Val F1: 0.7097 | Train Time: 2.1297500133514404 secs
Saving model with validation F1: 0.7096774193548386 at epoch: 11
Epoch: 12 | Train Loss: 0.1627 | Val Loss: 0.1461 | Train Acc: 0.8723 | Val Acc: 0.8440 | Train F1: 0.6917 | Val F1: 0.6792 | Train Time: 2.1025407314300537 secs
Epoch: 13 | Train Loss: 0.1673 | Val Loss: 0.2104 | Train Acc: 0.8629 | Val Acc: 0.8532 | Train F1: 0.6508 | Val F1: 0.7714 | Train Time: 2.119645118713379 secs
Saving model with validation F1: 0.7714285714285715 at epoch: 13
Epoch: 14 | Train Loss: 0.1479 | Val Loss: 0.1378 | Train Acc: 0.8847 | Val Acc: 0.8807 | Train F1: 0.7517 | Val F1: 0.7347 | Train Time: 2.107841968536377 secs
Epoch: 15 | Train Loss: 0.1377 | Val Loss: 0.1204 | Train Acc: 0.8879 | Val Acc: 0.8899 | Train F1: 0.7465 | Val F1: 0.7692 | Train Time: 2.1259138584136963 secs
Epoch: 16 | Train Loss: 0.1148 | Val Loss: 0.1182 | Train Acc: 0.9034 | Val Acc: 0.8991 | Train F1: 0.7737 | Val F1: 0.8197 | Train Time: 2.096015453338623 secs
Saving model with validation F1: 0.819672131147541 at epoch: 16
Epoch: 17 | Train Loss: 0.1122 | Val Loss: 0.0957 | Train Acc: 0.9097 | Val Acc: 0.9266 | Train F1: 0.7972 | Val F1: 0.8667 | Train Time: 2.130779266357422 secs
Saving model with validation F1: 0.8666666666666665 at epoch: 17
Epoch: 18 | Train Loss: 0.0956 | Val Loss: 0.0848 | Train Acc: 0.9252 | Val Acc: 0.9266 | Train F1: 0.8378 | Val F1: 0.8667 | Train Time: 2.119096040725708 secs
Epoch: 19 | Train Loss: 0.0914 | Val Loss: 0.1210 | Train Acc: 0.9283 | Val Acc: 0.8991 | Train F1: 0.8435 | Val F1: 0.8254 | Train Time: 2.1271698474884033 secs
Epoch: 20 | Train Loss: 0.0878 | Val Loss: 0.0832 | Train Acc: 0.9315 | Val Acc: 0.9358 | Train F1: 0.8533 | Val F1: 0.8814 | Train Time: 2.1288275718688965 secs
Saving model with validation F1: 0.8813559322033898 at epoch: 20
Epoch: 21 | Train Loss: 0.0708 | Val Loss: 0.0671 | Train Acc: 0.9439 | Val Acc: 0.9541 | Train F1: 0.8816 | Val F1: 0.9123 | Train Time: 2.106266975402832 secs
Saving model with validation F1: 0.912280701754386 at epoch: 21
Epoch: 22 | Train Loss: 0.0584 | Val Loss: 0.0722 | Train Acc: 0.9533 | Val Acc: 0.9541 | Train F1: 0.9007 | Val F1: 0.9123 | Train Time: 2.1294054985046387 secs
Epoch: 23 | Train Loss: 0.0469 | Val Loss: 0.0669 | Train Acc: 0.9595 | Val Acc: 0.9725 | Train F1: 0.9139 | Val F1: 0.9455 | Train Time: 2.117771863937378 secs
Saving model with validation F1: 0.9454545454545454 at epoch: 23
Epoch: 24 | Train Loss: 0.0468 | Val Loss: 0.0683 | Train Acc: 0.9502 | Val Acc: 0.9725 | Train F1: 0.8974 | Val F1: 0.9455 | Train Time: 2.1263554096221924 secs
Epoch: 25 | Train Loss: 0.0423 | Val Loss: 0.0603 | Train Acc: 0.9688 | Val Acc: 0.9725 | Train F1: 0.9359 | Val F1: 0.9455 | Train Time: 2.127572774887085 secs
Epoch: 26 | Train Loss: 0.0542 | Val Loss: 0.0579 | Train Acc: 0.9595 | Val Acc: 0.9633 | Train F1: 0.9139 | Val F1: 0.9286 | Train Time: 2.124990940093994 secs
Epoch: 27 | Train Loss: 0.0327 | Val Loss: 0.0755 | Train Acc: 0.9782 | Val Acc: 0.9450 | Train F1: 0.9554 | Val F1: 0.8966 | Train Time: 2.1239817142486572 secs
Epoch: 28 | Train Loss: 0.0568 | Val Loss: 0.1110 | Train Acc: 0.9595 | Val Acc: 0.9266 | Train F1: 0.9161 | Val F1: 0.8710 | Train Time: 2.1173410415649414 secs
Epoch: 29 | Train Loss: 0.0367 | Val Loss: 0.0605 | Train Acc: 0.9720 | Val Acc: 0.9725 | Train F1: 0.9427 | Val F1: 0.9455 | Train Time: 2.104818105697632 secs
Epoch: 30 | Train Loss: 0.0222 | Val Loss: 0.0604 | Train Acc: 0.9813 | Val Acc: 0.9725 | Train F1: 0.9615 | Val F1: 0.9455 | Train Time: 2.1133484840393066 secs
Epoch: 31 | Train Loss: 0.0349 | Val Loss: 0.0485 | Train Acc: 0.9813 | Val Acc: 0.9725 | Train F1: 0.9615 | Val F1: 0.9455 | Train Time: 2.1172969341278076 secs
Epoch: 32 | Train Loss: 0.0393 | Val Loss: 0.1044 | Train Acc: 0.9626 | Val Acc: 0.9450 | Train F1: 0.9221 | Val F1: 0.8966 | Train Time: 2.1018264293670654 secs
Epoch: 33 | Train Loss: 0.0234 | Val Loss: 0.0590 | Train Acc: 0.9751 | Val Acc: 0.9633 | Train F1: 0.9487 | Val F1: 0.9286 | Train Time: 2.1102287769317627 secs
Epoch: 34 | Train Loss: 0.0192 | Val Loss: 0.0733 | Train Acc: 0.9875 | Val Acc: 0.9633 | Train F1: 0.9747 | Val F1: 0.9286 | Train Time: 2.120818614959717 secs
Epoch: 35 | Train Loss: 0.0173 | Val Loss: 0.0722 | Train Acc: 0.9875 | Val Acc: 0.9633 | Train F1: 0.9747 | Val F1: 0.9286 | Train Time: 2.1114814281463623 secs
Epoch: 36 | Train Loss: 0.0195 | Val Loss: 0.0880 | Train Acc: 0.9813 | Val Acc: 0.9541 | Train F1: 0.9615 | Val F1: 0.9123 | Train Time: 2.118004083633423 secs
Epoch: 37 | Train Loss: 0.0234 | Val Loss: 0.0737 | Train Acc: 0.9938 | Val Acc: 0.9633 | Train F1: 0.9872 | Val F1: 0.9286 | Train Time: 2.1098999977111816 secs
Epoch: 38 | Train Loss: 0.0135 | Val Loss: 0.0748 | Train Acc: 0.9938 | Val Acc: 0.9633 | Train F1: 0.9870 | Val F1: 0.9286 | Train Time: 2.125861167907715 secs
Epoch: 39 | Train Loss: 0.0153 | Val Loss: 0.0855 | Train Acc: 0.9875 | Val Acc: 0.9633 | Train F1: 0.9744 | Val F1: 0.9286 | Train Time: 2.109739065170288 secs
Epoch: 40 | Train Loss: 0.0120 | Val Loss: 0.0902 | Train Acc: 0.9907 | Val Acc: 0.9633 | Train F1: 0.9809 | Val F1: 0.9286 | Train Time: 2.1184473037719727 secs
Epoch: 41 | Train Loss: 0.0115 | Val Loss: 0.1089 | Train Acc: 0.9907 | Val Acc: 0.9541 | Train F1: 0.9809 | Val F1: 0.9123 | Train Time: 2.1266262531280518 secs
Epoch: 42 | Train Loss: 0.0171 | Val Loss: 0.1084 | Train Acc: 0.9844 | Val Acc: 0.9450 | Train F1: 0.9677 | Val F1: 0.8966 | Train Time: 2.1150295734405518 secs
Epoch: 43 | Train Loss: 0.0073 | Val Loss: 0.0807 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1213769912719727 secs
Epoch: 44 | Train Loss: 0.0113 | Val Loss: 0.1112 | Train Acc: 0.9907 | Val Acc: 0.9633 | Train F1: 0.9806 | Val F1: 0.9286 | Train Time: 2.1059722900390625 secs
Epoch: 45 | Train Loss: 0.0077 | Val Loss: 0.1037 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.110208749771118 secs
Epoch: 46 | Train Loss: 0.0123 | Val Loss: 0.1264 | Train Acc: 0.9907 | Val Acc: 0.9541 | Train F1: 0.9806 | Val F1: 0.9123 | Train Time: 2.1234960556030273 secs
Epoch: 47 | Train Loss: 0.0135 | Val Loss: 0.0964 | Train Acc: 0.9938 | Val Acc: 0.9633 | Train F1: 0.9872 | Val F1: 0.9286 | Train Time: 2.121703863143921 secs
Epoch: 48 | Train Loss: 0.0064 | Val Loss: 0.0806 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9936 | Val F1: 0.9286 | Train Time: 2.106889009475708 secs
Epoch: 49 | Train Loss: 0.0079 | Val Loss: 0.1167 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1235246658325195 secs
Epoch: 50 | Train Loss: 0.0056 | Val Loss: 0.1190 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9286 | Train Time: 2.1141533851623535 secs
Epoch: 51 | Train Loss: 0.0056 | Val Loss: 0.1023 | Train Acc: 0.9938 | Val Acc: 0.9633 | Train F1: 0.9872 | Val F1: 0.9286 | Train Time: 2.119758129119873 secs
Epoch: 52 | Train Loss: 0.0044 | Val Loss: 0.1324 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9286 | Train Time: 2.1129801273345947 secs
Epoch: 53 | Train Loss: 0.0046 | Val Loss: 0.0771 | Train Acc: 1.0000 | Val Acc: 0.9817 | Train F1: 1.0000 | Val F1: 0.9630 | Train Time: 2.1105141639709473 secs
Saving model with validation F1: 0.9629629629629629 at epoch: 53
Epoch: 54 | Train Loss: 0.0059 | Val Loss: 0.1348 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9286 | Train Time: 2.1188178062438965 secs
Epoch: 55 | Train Loss: 0.0091 | Val Loss: 0.0983 | Train Acc: 0.9938 | Val Acc: 0.9633 | Train F1: 0.9872 | Val F1: 0.9286 | Train Time: 2.1115119457244873 secs
Epoch: 56 | Train Loss: 0.0051 | Val Loss: 0.0700 | Train Acc: 0.9969 | Val Acc: 0.9817 | Train F1: 0.9936 | Val F1: 0.9630 | Train Time: 2.118896961212158 secs
Epoch: 57 | Train Loss: 0.0144 | Val Loss: 0.1554 | Train Acc: 0.9907 | Val Acc: 0.9541 | Train F1: 0.9804 | Val F1: 0.9123 | Train Time: 2.113908290863037 secs
Epoch: 58 | Train Loss: 0.0056 | Val Loss: 0.1093 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9286 | Train Time: 2.119515895843506 secs
Epoch: 59 | Train Loss: 0.0039 | Val Loss: 0.0758 | Train Acc: 0.9969 | Val Acc: 0.9817 | Train F1: 0.9936 | Val F1: 0.9630 | Train Time: 2.118954658508301 secs
Epoch: 60 | Train Loss: 0.0058 | Val Loss: 0.1355 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9286 | Train Time: 2.1188697814941406 secs
Epoch: 61 | Train Loss: 0.0097 | Val Loss: 0.1305 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9936 | Val F1: 0.9286 | Train Time: 2.135068893432617 secs
Epoch: 62 | Train Loss: 0.0451 | Val Loss: 0.0917 | Train Acc: 0.9657 | Val Acc: 0.9633 | Train F1: 0.9299 | Val F1: 0.9286 | Train Time: 2.097694158554077 secs
Epoch: 63 | Train Loss: 0.0055 | Val Loss: 0.1286 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.121391773223877 secs
Epoch: 64 | Train Loss: 0.0035 | Val Loss: 0.0980 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1150686740875244 secs
Epoch: 65 | Train Loss: 0.0050 | Val Loss: 0.0925 | Train Acc: 0.9969 | Val Acc: 0.9817 | Train F1: 0.9936 | Val F1: 0.9630 | Train Time: 2.109661102294922 secs
Epoch: 66 | Train Loss: 0.0021 | Val Loss: 0.0980 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1210339069366455 secs
Epoch: 67 | Train Loss: 0.0017 | Val Loss: 0.1065 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.113553047180176 secs
Epoch: 68 | Train Loss: 0.0040 | Val Loss: 0.0967 | Train Acc: 0.9969 | Val Acc: 0.9725 | Train F1: 0.9936 | Val F1: 0.9455 | Train Time: 2.119304656982422 secs
Epoch: 69 | Train Loss: 0.0040 | Val Loss: 0.1430 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9286 | Train Time: 2.1139464378356934 secs
Epoch: 70 | Train Loss: 0.0018 | Val Loss: 0.1210 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1142489910125732 secs
Epoch: 71 | Train Loss: 0.0133 | Val Loss: 0.1178 | Train Acc: 0.9938 | Val Acc: 0.9633 | Train F1: 0.9870 | Val F1: 0.9286 | Train Time: 2.1230897903442383 secs
Epoch: 72 | Train Loss: 0.0222 | Val Loss: 0.1587 | Train Acc: 0.9844 | Val Acc: 0.9633 | Train F1: 0.9669 | Val F1: 0.9286 | Train Time: 2.117912530899048 secs
Epoch: 73 | Train Loss: 0.0075 | Val Loss: 0.1327 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9936 | Val F1: 0.9286 | Train Time: 2.109583616256714 secs
Epoch: 74 | Train Loss: 0.0049 | Val Loss: 0.1131 | Train Acc: 0.9969 | Val Acc: 0.9725 | Train F1: 0.9935 | Val F1: 0.9455 | Train Time: 2.106788158416748 secs
Epoch: 75 | Train Loss: 0.0027 | Val Loss: 0.1252 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1271262168884277 secs
Epoch: 76 | Train Loss: 0.0015 | Val Loss: 0.1149 | Train Acc: 1.0000 | Val Acc: 0.9725 | Train F1: 1.0000 | Val F1: 0.9455 | Train Time: 2.1236155033111572 secs
Epoch: 77 | Train Loss: 0.0034 | Val Loss: 0.1180 | Train Acc: 1.0000 | Val Acc: 0.9725 | Train F1: 1.0000 | Val F1: 0.9455 | Train Time: 2.1197378635406494 secs
Epoch: 78 | Train Loss: 0.0017 | Val Loss: 0.1252 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1144373416900635 secs
Epoch: 79 | Train Loss: 0.0011 | Val Loss: 0.1270 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1201837062835693 secs
Epoch: 80 | Train Loss: 0.0014 | Val Loss: 0.1301 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1121091842651367 secs
Epoch: 81 | Train Loss: 0.0016 | Val Loss: 0.1241 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1113944053649902 secs
Epoch: 82 | Train Loss: 0.0017 | Val Loss: 0.1242 | Train Acc: 1.0000 | Val Acc: 0.9633 | Train F1: 1.0000 | Val F1: 0.9286 | Train Time: 2.1068036556243896 secs
Epoch: 83 | Train Loss: 0.0044 | Val Loss: 0.1516 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9935 | Val F1: 0.9286 | Train Time: 2.111908435821533 secs
Epoch: 84 | Train Loss: 0.0040 | Val Loss: 0.1174 | Train Acc: 0.9969 | Val Acc: 0.9633 | Train F1: 0.9936 | Val F1: 0.9286 | Train Time: 2.115741729736328 secs
